"","x"
"150","Thanks for your question on Healthcare Magic.I can understand your concern.You are having persistent lung opacity despite of antibiotic treatment.So possibility of these is very high. 1. Drug resistant infection2. MalignancySo better to first diagnose and then start appropriate treatment.Bronchoscopy and CT scan of thorax are advised in your case.Bronchoscopy will isolate the causative organism and guide about specific antibiotic therapy.CT scan will tell you if there is mass lesion present or not.Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"151","Thanks for your question on Healthcare Magic.I can understand your concern.Yes, you should definitely consult your doctor.Pneumonia spread by coughing. So you might have cought infection from your boyfriend 's grandmother. You are also a diabetic, so lung infections are very easy to affect you.So better to consult your doctor and get done clinical examination of respiratory system and chest x ray.If chest x ray is normal then no need to worry for pneumonia, take simple painkiller like paracetamol for your chest pain.Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"152","Thanks for your question on Healthcare Magic.I can understand your concern.You have given oral antibiotic for pneumonia.This itself suggests that you are had walking pneumonia (no serious type).Levofloxacin is broad spectrum antibiotic and usually sufficient for walking pneumonia.So if you are don't have fever or coughing at present and feel good then you can definitely fly. No harm in it.Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"153","Thanks for your question on Healthcare Magic.I can understand your concern.Pneumonia usually takes 2-3 weeks for complete recovery.Your oxygen requirement is decreasing. This is suggestive of recovery. So you will definitely be alright after 4 weeks. So get done repeat chest x ray to see how much pneumonia is recovered.Chest physiotherapy, deep breathing exercises, incentive spirometry are vital to achieve good lung functions after pneumonia.Don't worry, you will be alright.Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"154","Thanks for your question on Healthcare Magic.I can understand your concern.Yes, recurrent lung infections can directly diminish lung functions.Recurrent infections can also cause asthma, bronchitis and further deteriorate lung functions.Best way to prevent respiratory tract infection is vaccines.Give him pneumococcal and influenza vaccines.These vaccines will provide 80% protection. Give him fruits, multivitamin tablets and protein powder for high immunity.Hope I have solved your query. I will be happy to help you further. Wishing good health to your son. Thanks."
"155","HiAfter spme days of the proper treatment you will feel better again. Don't worry it takes ssometime to recover. Dr.Jolanda"
"156","Hello Gigi !Coughing up blood with sputum (henoptysis) is a red flag sign .. meaning to say it definitely needs Medical attention . Considering you have had TB in the past there are many possibilities for your present episodes of hemoptysis.  It could me a bacterial infection or relapse of TB or post TB bronchiectasis (abnormal permanent dilation of your airways at few places which happens when they get damaged due to your past TB). Take a course of antibiotic as prescribed by your physician ,Consult with your physician  and discuss about taking drugs like tranexemic acid which reduce the bleeding tendency , cough suppressants . while sleeping, Lie on the side which was previously affected by TB and be on complete bed rest . Once your hemoptysis gets controlled go for sputum examination to check for TB bacilli , chest x ray and if needed HRCT thorax (to pick up bronchiectasis which can sometimes be not evident on x ray). Since u mentioned severe back pain , vascular abnormalities concerning  the descending aorta (the major blood vessel carrying blood from the heart)needs to be also considered  Treatment is to be decided based on the cause for your hemoptysis.Do review with your physician and get the necessary investigations done."
"157","Hello! Just because you have previously had a pneumonia does not necessarily mean this time too You will be having it again. Since how long have you been having cough ? Are you having a dry cough or produce phlegm ? what's the colour of the phlegm ? last time you had pneumonia was it properly n completely treated ? Apart from cough what are your other complaints at present ? your cough can be due to inflammation of your throat lining or it can be something to do with your lungs like previous time.  Kindly get your checked by a physician with an open mind and go for a Chest X ray if necessary."
"158","primarily he suffering reflux disease which causes repeated aspiration and pneumonia so correction of underlying pathology will resolve pneumonia and as for concern about antibiotic and treatment of pneumonia use of antibiotics for prolong period can cause development of resistant organisms"
"159","Thanks for your question on Healthcare Magic. I can understand your concern. Best treatment of pneumonia is identification of causative pathogen and start appropriate antibiotics. So get done sputum culture and sensitivity report. Culture report will isolate the causative organism and sensitivity report will guide about effective antibiotic treatment. So consult pulmonologist and discuss all these. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"160","Hello dearWarm welcome to Healthcaremagic.comI have gone through your query thoroughly .*  X-ray result indicates infection of the lung with some sort of bacteria     giving  rise to pneumonia .*  Pneumonia  recovery  takes  time  depending upon the virulence of the    organisms , host immune  response and other co morbid conditions .*  If  your  symptom score has declined  from  the  initiation of the therapy    wait  for  further  progress , if  the  intensity  of  the symptoms  is  as    it  is  then  have  to  consider  the change  of  therapy  or  consultant .Hope this clears your doubt .Thanks .Regards ."
"161","It sound like your cousin has something called- Empyema. It is basically an abscess in the chest cavity. And the correct treatment for it is drainage - which was done appropriatley. But he should receive antibiotic treatment with coverage of both aerobic and anaerobic organisms. Usually specimens are send from the procedure to see which organisms grow and provide a more directed antibiotic coverage."
"162","Thanks for your question on Healthcare Magic. I can understand your concern. In my opinion, her diarrhoea is mostly due to amoxicillin. Amoxicillin can cause diarrhea on second exposure. So you should stop amoxicillin. There are options for oral antibiotics other than amoxicillin like cefixime, levofloxacin, moxifloxacin etc. And left basal pneumonia means lung infection in lower lobe of left lung. So antibiotics are the mainstay of treatment. Hope I have solved your query. I will be happy to help you further. Wishing good health to your mother.Thanks."
"163","Thanks for your question on Healthcare Magic. I can understand your concern. Radiological resolution takes 2-3 weeks in pneumonia. So it is possible that patient of pneumonia is improved symptomatically but still show pneumonia on chest x ray. So in my opinion, you should should waiting for 2 weeks more. Get done repeat chest x ray after 2 weeks.If chest x ray is showing pneumonia then go for CT thorax and bronchoscopy to rule out lung cancer, Tuberculosis, Fungal pneumonia. If xun4 ray is improving then no need to worry. Hope I have solved your query. I will be happy to help you further. Wishing good health to your mother. Thanks."
"164","Thanks for your question on Healthcare Magic. I can understand your concern. Your symptoms are seen with both, bronchitis and pneumonia. And both of these them are common after upper respiratory tract infection (URTI - sinusitis). So better to consult pulmonologist and get done clinical examination of respiratory system, chest x ray and PFT (Pulmonary Function Test). Chest x ray is needed for the diagnosis of pneumonia. PFT is must for the diagnosis of bronchitis. Antibiotics are the mainstay of treatment for pneumonia. Inhaled bronchodilators and inhaled corticosteroid (ICS) are the mainstay of treatment for bronchitis. So first diagnose android then start appropriate treatment.. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"165","Thanks for your question on Healthcare Magic. I can understand your concern. Small cell lung cancer is commonly caused by cigarette smoking. Actually cigarette smoke causes irritation to lung mucosa. Chronic irritation causes structural and genetic changes which leads to malignant nodule. This nodule grows with time and forms mass like lesion. Hope I have solved your query. I will be happy to help you further. Thanks."
"166","Respected user , HiThanks for using Healthcaremagic.comI have evaluated your query thoroughly .*  Mechanism of pneumonia follows as   -  Susceptible pathogens in form of bacteria enters the respiratory tract      via  nose or throat ( air borne ) , settles  there in respective lung tissues      through aleveoli and bronchi  -  start manifestations in form of various symptoms  of bronchitis ,      effusion or others .*  Treatment  guidelines   -  Maintain hydration with plenty of liquids .  -  Balanced nutritious  diet .  -  Regular antibiotics , anti inflammatory , decongestants as per advise      by your doctor .  -  Regular walking , exercises ( deep breathing ) , YOGA .  -  Avoid smoking , alcohol .  -  Have patience , recovery time depends upon the causative organism ,      host response factors and type of treatment ( it may take days to       weeks ) .Hope this clears your query .Welcome  for  any  further  assistance .Regards ."
"167","Respected user , HiThanks for using Healthcaremagic.comI have evaluated your query thoroughly .*  Recovery time of the pneumonia vary from days to weeks depending     upon    -  extent of pneumonia  -  associated  co morbid conditions  -  causative        organisms virulence  -  host immune response  -  type  of  treatment  - smoking consumption  -  activity level  -  exposure to noxious        substances as pollen or dust  -  diet  .*  So , to answer the question , lot many conditions have to be calculated     and  based upon that we can comment .*  One thing I  want to convey that it will be surely recovered with proper     line of management .Hope this clears your query .Welcome for further doubts .Regards .    of management ."
"168","Thanks for your question on Healthcare Magic. I can understand your concern. Bronchiectesis is permanently damaged part of lung. So bacterial colonization is common in bronchiectesis. And this gives repeated pneumonia attacks. So best and permanent cure for this is surgical removal of bronchiectic part of lung. So consult Cardio thoracic surgeon and discuss about surgical removal. Another option is culture and sensitivity based treatment. Get done sputum culture and sensitivity report. Culture will identify the causative organism and sensitivity report will guide about effective antibiotic treatment. Hope I have solved your query. I will be happy to help you further. Wishing good health to your friend. Thanks."
"169","Thanks for your question on Healthcare Magic. I can understand your concern. In my opinion, you need higher antibiotic,inhaled bronchodilators and inhaled corticosteroid (ICS) for your current symptoms. Constant coughing at night can be due to worsening of pneumonia or bronchitis. So consult pulmonologist and get done chest x ray and PFT (Pulmonary Function Test). Chest x ray is for pneumonia and PFT is for bronchitis. Don't worry, you will be alright with all these. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"170","Respected user , hi Thanks for using Healthcaremagic.comI have evaluated your query thoroughly .* All symptoms are in relation with underlying lung condition giving rise to   broncho alveolar constrictions , pleura irritation with systemic    manifestations* As there is not much relief of oral medications given till now , I strongly   recommend to get hospitalised treatment & early better recovery through   IV antibiotics , bronchodilators, supportive nursing care Hope this clears your queryWelcome for any further assistance Regards ."
"171","Hello,Your son’s respiratory rate is too high. Please take him to ER immediately and take a chest x-ray immediately.Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Siva Kumar Reddy"
"172","Hello welcome to HCM. I have gone through your history. You have been adequately treated for your pneumonia and I suppose you don't have any symptoms of pneumonia like cough, fast breathing, fever, breathlessness. Since you have received intravenous plus 5 days of oral antibiotics, now you can resume about your exercise regime. As you say you had a non damaging heart attack, means that your heart pumping function is well preserved. So you must not have any issues with exercise. With every lung infection the lung capacity decreases by some percentage proportional to he severity of the infection. Hence along with your routine exercises you must also undergo breathing exercises with incentive spirometry, inhaling deeply through one nose holding your breath and exhaling fully from the other nose, meditation and yoga. This will help you to regain some of the lost lung capacity. You should also get vaccinated with influenza and pneumonia vaccines that include common strains which cause pneumonia Remember they don't protect you against all pneumonias but offer protection against common pneumonias.Regarding Naproxen too much of it may cause damage to your kidneys so I advice you decrease its usage and use it only when required rather than a daily basis.Wishing you good health. Regards"
"173","Respected user, hi I evaluated whole long query in total details thoroughly .* Now only options left for you is holistic healing with herbs & other things.* Current respiratory details & status are not mentioned with symptoms to   figure out for the pneumonia, but for mental condition I can say that only   & only thing which can help you to any extent is   very deep meditation sessions on highly regular basis   2-3 hours of dedicated YOGA daily    which will give your inner soul & subcouncious mind the level of peace   you are lacking at present .Hope this helps you .Welcome for any further assistance .Thanks  for using Healthcaremagic.com & giving me an opportunity to assistWishing you a healthy life ahead .Regards dear take care."
"174","Respected user, hi I evaluated your query thoroughly.* What is meant by '' there is no change'' in x-ray ? mean to convey that    the pneumonia is as it is in x-ray as before treatment ?   then in that case it is non-responsive treatment.* In addition to that your symptoms also show that you are not alright to    much extent .* Chest pain & cramps are in relation with underlying pneumonia, you are   telling that treatment is over but no it is not finished.@ Recommend to consult with all details of scanned reports , treatment     taken  till now , so that we can study the case in detail & make guidelines     for further perfect recovery .Hope this helps you.Welcome for any further assistance.Thanks for using Healthcaremagic.com & reviewing my answer thoroughly.Wishing you fine recovery from the same.Regards dear take care."
"175","Hey,Minimal linear atelectasis doesn't mean pneumonia of lung, but still if you are diagnosed as pneumonia then it's ok.And yes tiredness is expected for 4-5 days at least."
"176","Hey Brent,If you feeling low and drowsy with pneumonia then you must take appropriate antibiotics.If required might get admitted to get done i.v. treatment."
"177","Respected user, hi it is unlikely to disseminate lung pathology to brain in your case.It may be existing condition in brain detected afterwards or occurrence with/ after the lung pathology.Hope this clears your query.Thanks for using Health care magic & giving me an opportunity to assist you.Regards dear take care."
"178","Respected user, hi I evalauted your query thoroughly.Sorry to hear about the issue.*Prognosis depends on many factors - age - associated comorbid conditions   like heart attack / cv stroke / kidney malfunctions / diabetes - immunity  - haemoglobin level - body response to treatment - competency of doctors  - efficacy of molecules used in treatment & much more list not possible to  narrate whole here.*Considering all your narrations, her prognosis is guarded, not that much  good as normal person suffering from pneumonia recovering in days. - She may take very long time for recovery & may not recover also ( I pray   to God that doesn`t happen ) after your long jugglery with all ventilator   period. - I can suggest to see the progress of the patient on ventilator for 5-7 days   discuss with the consultant in details regarding this & then decide to    continue the treatment or wean her off from ventilator for resting her   sole in peace. Hope this clears your query. Thanks for using Health care magic & keeping trust in our medical services Regards"
"179","Hello sir,Seeing at your history would like to know more about your case.Want to look at your chest x ray first.and if its definitely diagnosed pnemonia, then in case you could be right that it could be viral pneumonia.but you can't stamp it as viral from clear phlegm. Get done white blood counts which will be within normal limits in case of viral and high in case of bacterial pneumonia. Also get done Procalcitonin and CRP level of your blood. it will give you final idea.And as you were smoker phlegm might be due to Bronchiectesis or COPD. rule out that."
"180","Do you have diagnosed it correctly ? Go for HRCT CHEST , or Bronchoscopy for same. take i.v. antibiotics and then oral. complete course of antibiotics. For costochondritis apply analgesics ointment on it along with systemic anti inflammatory drugs. Get done diagnosis proper. You will definitely able to work again."
"181","HiYes it might be but not completely.To be sure she should consult her doctor for further follow up.Wishes Dr.Jolanda"
"182","HiIf a patient have pneumonia he should have cough with or without sputum,probably chest pain and breathlessness,anorexia,fever.But the signs and symptoms varies from patient to patient.Take careDr.jolanda"
"183","Walking pneumonia is a non-medical term to describe a mild case of pneumonia. It is usually called atypical pneumonia because the disease is different from more serious cases of pneumonia caused by typical bacteria. it is often the result of a lung infection from a bacterial microorganism called Mycoplasma pneumoniae and generally treated with antibiotics. Mild infections are often not treated because they tend to clear on their own. With treatment, most people begin to feel better within a few days."
"184","Respected Sir, hi. Diagnosis of Pertussis is clinical usually,divided into 3 stages .1st stage (catarrhal) where runny nose, sneezing, low grade fever, occasional cough. 2nd stage (paroxysmal) bursts of coughing or numerous rapid coughs, difficult to expel thick mucus from airways in lungs , long respiratory effort with high-pitch breath sound , individual may have cyanosis with or without vomiting during severe attack, inbetween attacks, patient becomes normal.3rd stage is convalescent or recovery gradually from above all. overall period may range from 1-2 weeks to 10-12 weeks.  In which cases diagnosis is not certain or require confirmation *Culture of bacterium Bordetella pertusis from nasal secretions *PCR test identifying genetic material from the bacterium in nasal secretions. Hope this clears your query dear madam, thanks regards take care, bye, wishing you fast speedy recovery from the same."
"185","Hi and welcome in HCMAccording to the history this might be  a situation called *Nonresponding Pneumonia*It would be better to be hospitalized for further examinations like:CRPHemogramALT,ASTChest CT (if needed)ABGFor exploring better the situation and do the treatment in i/v route .If you have comorbidites they should be evaluated too.Sometimes when the other comorbidities are not well treated the pneumonia does not respond so well from the treatment.So please discuss with your doctor for the aboveRegardsDr.Jolanda"
"186","Tingling in extremities may be a sign of peripheral neuropathy, wich is most of the cases caused by inflammatory injury to the nerves. Anti-TNF drugs, such as Humira, have been reported to be associated to this kind of injury, that can be potentialized when associated to steroids. You should visit your attending rheumathologist for physical evaluation and apropriate management."
"187","Lung whiteout and loss of heart outline are findings of chest x-ray compatible with many abnormal conditions affecting the lungs, like pneumonia, pleural effusion, acute respiratory distress syndrome among others. In the actual setting, your father is already receiving treatment to his pneumonia. All the other possibilities are probably been considerated and adressed by CCU staff. Weaning from mechanical ventilation is sometimes challenging because many factors can impair patients evolution, like how long he's been in MV, his nutrition status, his cardiovascular performance and resolution of the cause that led him to MV in the first place."
"188","Hello and thank you for asking in HCM I can understand your concern Don't worry so much. Your husband is under treatment for pneumonia according to the history and he has had fever several times.Now he feels better but he is not completely asymptomatic which means that the feeling he had might be due to an episode of temperature not so high .This shows that the treatment is doing well. But he has to be careful with the treatment to be correct as the doctor has prescribed ,no smoking and not to work in dust environment ,a lot of liquids too.Take careWish a fast recovery for your husband. Dr. Jolanda Pulmonologist"
"189","In brief:   It depends.   It depends of your country and the state of coronavirus, in some places you need to have traveled recently to another country to get the test, and in another countrys you need to be tested right away after any symptoms.   You should check your country  phase of coronavirus  Would you like to video or text chat with me?         "
"190","Yes. Avoid contact but ensure that they have food, supplies and able to slay at home. They should drink fluids and if they develop a fever, please call your PCP right away and also consider a virtual appointment with HT. Other symptoms to watch for include dry cough and shortness of breath. Use good hand washing and disinfect surfaces."
"191","In brief:   Same measures    Wear a mask, social distance as possible, try not to touch surfaces, keep hands clean.   Best would still be not to travel if possible.  Would you like to video or text chat with me?         "
"192","Current symptoms? You may have experienced Coronavirus infection. Please stay at home until well and without any signs of illness. Drink fluids, rest and monitor your temperature. ."
"193","Take all precautions. Take all precautions possible to try to avoid catching Coronavirus. Wash your hands often with soap & water, avoid touching your eyes, nose & mouth, stay home as much as possible, cover your mouth & nose with tissue if you sneeze or cough, clean & disinfect  frequently touched surfaces often & if you have fever, cough and difficulty breathing seek medical care."
"194","In brief:   Stay home.   Stay home for at least 7 days, rest, drink fluids and monitor your temperature.   There is an overlap between flu and COVID-19 symptoms. Nasal congestion and absence of fever are not typically associated with COVID.  Would you like to video or text chat with me?         "
"195","In brief:   Being cautious best.   Any medication that can increase the potential of viral infections should be avoided during a coronavirus outbreak such as we are seeing now.  Would you like to video or text chat with me?        "
"196","Hard to say. In the absence of treatment I guess we grasp at things. This is definitely doing the rounds but as yet unproven. Most people recover from covid. So very very hard to trial. Most important right now is not to spread it. So stay home. Wash hands."
"197","In brief:   HPV virus   Human papiloma virus.   You wont necessarily have them but you could have the virus. When last did you have a papsmear. THey can pick it up on that. Once we are out of lockdown get a papsmear.  Would you like to video or text chat with me?         "
"198","In brief:   Telephonic consult?   Could well be another respiratory virus, I would stay home for now.   Use this platform to consult either virtually or ask more questions. Use home medicine - decongestant and pain medication. STay away from any anti-inflammatories if possible. Keep up warm fluids.  Would you like to video or text chat with me?         "
"199","Test for Covid-19. On this times better to be sure you don’t become contagious and spread the virus, try to get tested for Covid-19."
"200","In brief:   Very unlikely   It sounds more like a viral cold.   covid does not present this way. treat the symptoms,consult GP if worse or if sputum changes color.  Would you like to video or text chat with me?         "
"201","Diabetes + Covid-19. Because you are a Type I diabetic it means that you are at greater risk for complications if you contract Covid-19. If you have had a sore throat for a few days that gets worse every day, and if you have a fever over 100F, call your General Physician. ."
"202","Isolate. No symptoms no test. You really do not need testing if there are no symptoms, but act like  you are contagious. avoid contact with people for 14 days and only consult your GP if get symptoms."
"203","Probable flu. This definitely sounds like Influenza is starting.( Unless you have any obvious reason to suspect COVID-19,Malaria,Tick Bite Fever or Glandular Fever).Rest,Vitamin C and a suitable over the counter painkiller. I would advise avoiding Ibuprofen and other Non-Steroidal Anti-Inflammatory medication."
"204","In brief:   Unknown   Without any details it's impossible to say.  Would you like to video or text chat with me?        "
"205","Diabetes + Covid-19. Have you been diagnosed as a Diabetic, or just someone with slightly elevated A1C? Reports are that diabetics, especially males, are at greater risk. Follow all precautions that have been posted all over the internet and have been printed in newspapers. If you have a sore throat and a fever, call your General Physician and follow his/her directions completely."
"206","More detail. Do you have a temperature ?Have you traveled internationally or locally?Do you have a fever ?It is seeming to be becoming necessary to be more vigilant about COVID-19.I suggest you make an appointment to see a Doctor."
"207","Watch and wait. With very mild symptoms you do not need to be tested.Your temperature is important. if your symptoms worsen or a fever develops or you start coughing and shortness of breath you need to seek help. stay home and treat the symptoms with paracetamol."
"208","Covid and TB. Patient:s with a history of underlying lung disease do have a higher risk of morbidity and mortality with covid infection. It is important to self isolate and maintain social distancing as per the current protocols. Should you suspect covid infection get screened as early as possible."
"209","In brief:   Overseas and Covid   Yes,direct contact with anyone from Europe and travel history must get tested.  There are drive in facilities in Johannesburg.Check the net for testing places in CT  Would you like to video or text chat with me?         "
"210","Not at all. If you are a well controlled diabetic then you will be fine. You will have an equal risk of getting it. If you are poorly controlled then you are more at risk of it complicating. But boost your immunity and stay at home. Get online shopping. Keep bags outside and sterilize everything coming into your home - entire item. KEep using this forum for questions. :)"
"211","Hard to say. Is the mucous coloured or clear? Try to access health advice as you are. Stay home. It could be covid but if you are fairly asymptomatic stay home and keep asking questions on this platform. It is safer for you and others. Treat symptomatically for now. And keep asking on here."
"212","In brief:   Unlikely   It could be, however going out right now is dangerous to you and others.   If you don't have it yet going out risks getting it. If you have it you can spread it. Try to access a thorough consult on the phone or virtually. Keep chatting we are here for you.  Would you like to video or text chat with me?         "
"213","In brief:   Most likely not c   Most likely sinusitis or seasonal allergy.   Try to access a telelphonic or virtual consult to discuss thoroughly with someone. For now stay home stay safe. Treat yourself and all in your family as if they have covid for now =it's safer.  Would you like to video or text chat with me?         "
"214","In brief:   No not now   GEt telephonic consult via this or other forums.   Not indicated to be tested right now. Use medication you have at home to treat symptoms right now. Use this forum if symptoms change.  Would you like to video or text chat with me?         "
"215","In brief:   YEs   This virus clings to everything especially hairs.   Either wash your beard a few times a day and spray with alcohol or shave off.  Would you like to video or text chat with me?         "
"216","Likely not corona. Sounds more like seasonal allergy or a mild cold. GArgle with warm salt water and use meds you have at home. Ask questions on this forum - don't go out unless you really really have to."
"217","Yes. VEry very important for you to stay in quarantine and not go and shop. Also make sure anything that comes into your house is sanitized. EVery single thing. Sanitize. KEep 2 m away from everyone and wear a buff or home made mask that covers your nose and mouth. Be safe. Be positive. We will get through this."
"218","Infectious for 3w. If you had corona virus you are infectious for 3 weeks. So you need to stay 2 m away from loved ones. Stay home. Get someone else to shop for you. Stay home. Wear a buff over your nose and mouth. Do not touch your face, mouth or nose. Wash hands for 20 seconds every 20 min."
"219","Booster vaccinations. You should have had a booster at 12 years and that lasts for 10 years. If your last Tdap was at 6yrs then you are overdue. I agree with waiting for after the COVID pandemic unless you have an injury that would require tetanus immunity. Stay safe. ."
"220","In brief:   This could well be very normal.   One can get pain on day 14 during ovulation and before and during the period. Use panado for this and once we are through this corona virus you can use anti-inflammatories.  Would you like to video or text chat with me?         "
"221","No. The vaccines prevent bacterial pneumonia.  They have no effect on viral pneumonia."
"222","In brief:   It may help.   Coronavirus infections may make individuals more susceptible to catching other viral or bacterial infections, esp.   if there are underlying respiratory conditions such as asthma or COPD, cardiac conditions or immunocompromised states. Flu vaccines may afford a certain level of protection to kids, but they do not protect against all strains of the influenza virus.   Would you like to video or text chat with me?         "
"223","In brief:  Your symptoms sound more like seasonal allergy.   Treat as such, your pharmacist can assist. Try to do this over the phone and collect if possible.  Would you like to video or text chat with me?         "
"224","In brief:   Contact Dr    Rather get hold of your regular GP and discuss over the telephone regarding this issue.   DO NOT STOP OR DO THIS ON YOUR OWN.  Would you like to video or text chat with me?         "
"225","Depends-all factors. Type I diabetics can be more fragile when they have any type of infection unfortunately. If you are younger & do not smoke & do not have other chronic problems, your increased risk may be minimal.  Eating balanced diet, keeping glucose controlled, getting adequate exercise (including fresh air outdoors), & adequate sleep all should help protect you from severe consequences, but be very careful ! ."
"226","In brief:   Probably not Covid.   May be allergic, bacterial sinus infection, a different virus, a narrow upper jaw with partial airway obstruction, or other causes.   Call your General Physician and check if they want to see you. See your Dentist to evaluate if your upper jaw is too narrow and if you need to see an Orthodontist.  Would you like to video or text chat with me?         "
"227","In brief:   Difficult times.   This is a difficult question.   Many workers like you wear masks, gloves, stand 6 feet from others, take off work clothes on entering their home, wash meticulously. Read more tips from Covid19 hotlines.  Would you like to video or text chat with me?         "
"228","In brief:   Not necessarily   You need to consult an endocrinologist for advice about diet, weight control, and medication for controlling A1c.    It is not feasible to provide more useful suggestions without talking to you, performing physical examination and may be some test.Wish you good health!  Would you like to video or text chat with me?         "
"229","Seek help. Contact to your doctor or go to ER for trouble to breath. If you go to ER they test you for covid 19. Your mother also can be  tested if symptomtic."
"230","Sounds risky. Using symptoms of fever, cough, or runny nose to screen for COVID-19 is not accurate because colds and flu have such symptoms. COVID testing is by nasal swab, but there's a shortage of test kits in this pandemic. Only local resources know local testing sites, times, restrictions. Even a negative test does not guarantee one does not have COVID-19. Safest for people to stay away from ICU patients."
"231","Break. At 39 your risk for severe infections is very low. A strategy that I recommend is taking in information daily, but get away from it. Practice prudent precautions. In my off times away from ER (still practicing front line ER)  I focus my mind on my cooking, planning my garden, engage with my friends and loved ones and read. https://www.healthtap.com/blog/covid-19-care-guidelines/preventing-covid-19."
"232","In brief:   One sign   On treatment for bacterial pneumonia, fever will usually decline within 2 days.    A follow up chest image may be indicated. If you would like to upload her CT and clinical information to an inbox consultation with HT, we can provide an opinion. Sometimes there is slow resolution of a pneumonia, particularly with underlying medical conditions. The test results should be back soon.   Would you like to video or text chat with me?         "
"233","Delay/virtual . Virtual get togethers should be considered. Keep a distance of at least 6 feet between persons who are not in your household. ."
"234","Consider chest image. Pneumonia may occur and if you continue to spike fevers, please see your PCP for a chest image and reevaluation. Testing for additional bacterial and viral causes may be performed at the same time. Stay at home at least for three days after the fever has broken and avoid contact with others. ."
"235","In brief:   No   There is not enough data to support it's use.   More clinical trials are needed  Would you like to video or text chat with me?         "
"236","In brief:   Wait for now   Wait for now, keep talking on this platform. Stay safe.  Would you like to video or text chat with me?        "
"237","In brief:   Wait   My advice would be wait and don't risk exposure and spread right now.   Quarantine. Safe stay. We are here for you on this platform.  Would you like to video or text chat with me?         "
"238","In brief:   Arrange testing   Stay home, provide fluids and ibuprofen after checking his temperature.   If he does not look well to you, please arrange a virtual or in person appointment with your pediatrician. Avoid contact with others, use good hand washing and consider testing for Influenza and Coronavirus.   Would you like to video or text chat with me?         "
"239","COVID-19? It sounds like your mom is in good hands. If she has COVID, they will know how to treat it. If the pneumonia is beleived to be bacterial, they will treat with antibiotics. There is no proved effective treatment for coronavirus itself. Ask her doctors if she is a candidate for remdesivir -- not proved effective but sometimes available on a ""compassionate"" basis for severely ill patients. Good luck."
"240","In brief:   Water and soap   It is best, providing available easily.   Trying not to touch shared places would also protect to some extent.  Would you like to video or text chat with me?         "
"241","It actually works. As does washing your hands with soap and water. All the germs die after using it, so they become harmless. Sanitizer and washing your hands will help protect you, but you can still catch COVID-19 through your mouth and nose and inhaled into the lungs. Social distance and quarantine as needed."
"242","In brief:   Flu vaccine   Any flu vaccine will cause your immune system to respond.  I advise,if your decision is to be vaccinated,to do it over a period of 6 weeks..I like a little bit on day 1 ,then more 2 weeks later and more two weeks later still.That way you get the full killed vaccine ,and your body develops an immune response with its ability still intact to fight Covid 19 if necessary.  Would you like to video or text chat with me?         "
"243","Stay home. Right now stay home, keep reporting here. THEre should be home to home testing coming soon. Mild corona virus is easy to treat at home. Treat everyone right now as if they have it, including everyone in your home."
"244","Read our blog post. Household members should stay in another room or be separated from the quarantined as much as possible. They should use a separate bedroom and bathroom, if available. Prohibit visitors to the home. You and the quarantined should each wear a face mask if you are in the same room. (3/26/20)  Read  https://www.healthtap.com/blog/post/caregiver-guide-for-COVID19-spouses-partners-contacts."
"245","In brief:   No testing now   YOur children are going to be fine, there have not been any children that have required drastic measures.   MAke sure you stay 2 m away and wash hands and surfaces, disinfect surfaces constantly. Ask questions on here, we are here buy you need to stay home right now.   Would you like to video or text chat with me?         "
"246","In brief:   If you meet criteria   You should test if you meet the criteria for testing, which currently states that you should have symptoms (cough/fever/shortness of breath/sore throat) PLUS contact with a confirmed or suspected case of Covid-19.    If you do not have a contact, then best would be to isolate yourself (which you will be doing on lockdown anyway).  Would you like to video or text chat with me?         "
"247","Perhaps not now. SEe how you go, going out right now is really a big risk. WE are here and can communicate during the lockdown period. THe government are making more tests available and safely so. Trust our government. Stay home right now."
"248","In brief:   If you meet criteria   You should test if you meet the criteria for testing, which currently states that you should have symptoms (cough/fever/shortness of breath/sore throat) PLUS contact with a confirmed or suspected case of Covid-19.    If you do not have a contact, then best would be to isolate yourself (which you will be doing on lockdown anyway).  Would you like to video or text chat with me?         "
"249","Perhaps not now. SEe how you go, going out right now is really a big risk. WE are here and can communicate during the lockdown period. THe government are making more tests available and safely so. Trust our government. Stay home right now."
"250","In brief:   Travel is a risk   Any travel is a risk, that is how this has spread so yes I would advise you telephonically consult with a doctor and see what they advise is best right now.   But locking down requires all of us to stay put to stop transmission. I mean international travel is a risk to get covid and from international folk, especially recently. Travel right now to expose yourself and others is also a risk.  Would you like to video or text chat with me?         "
"251","Shout . What are your symptoms? There are short supply of tests and only if you absolutely need a test at this stage. STay at home, disinfect everything especially any shopping coming from outside your home. Ask questions on this forum. STay at home right now."
